College Name,Stream,District,Location,State,Fees per Year (\u20B9),Placement %,Rank,Accreditation,Courses Offered (comma-separated)
Thiruthangal Nadar College,Arts and Science,Chennai,https://www.google.com/maps/place/Thiruthangal+Nadar+College/data=!4m7!3m6!1s0x3a52656b148ae53b:0x8b690a8f30f89ea7!8m2!3d13.1458553!4d80.2559056!16s%2Fg%2F11b6rs1vql!19sChIJO-WKFGtlUjoRp574MI8KaYs?authuser=0&hl=en&rclk=1,Tamil Nadu,,,,,
Government Arts College for Men,Arts and Science,Chennai,https://www.google.com/maps/place/Government+Arts+College+for+Men/data=!4m7!3m6!1s0x3a5267aea35743e5:0xb236c3bce1a19566!8m2!3d13.0304394!4d80.2392936!16s%2Fg%2F11gbldv8fp!19sChIJ5UNXo65nUjoRZpWh4bzDNrI?authuser=0&hl=en&rclk=1,Tamil Nadu,,,,,
Arulmigu Kabaaleeswarar Arts - Science College,Arts and Science,Chennai,https://www.google.com/maps/place/Arulmigu+Kabaaleeswarar+Arts+-+Science+College/data=!4m7!3m6!1s0x3a5265c2eb990611:0xb3fd8804d97245a3!8m2!3d13.1257275!4d80.2201315!16s%2Fg%2F11rkd0zzcr!19sChIJEQaZ68JlUjoRo0Vy2QSI_bM?authuser=0&hl=en&rclk=1,Tamil Nadu,,,,,
St. George’s Arts & Science college,Arts and Science,Chennai,https://www.google.com/maps/place/St.+George%E2%80%99s+Arts+%26+Science+college/data=!4m7!3m6!1s0x3a52673ac9a3635d:0xce336b0021c3159c!8m2!3d13.0754665!4d80.2314437!16s%2Fg%2F11qp2nw0lz!19sChIJXWOjyTpnUjoRnBXDIQBrM84?authuser=0&hl=en&rclk=1,Tamil Nadu,,,,,
Chevalier T. Thomas Elizabeth College for Women | Arts and Science College,Arts and Science,Chennai,https://www.google.com/maps/place/Chevalier+T.+Thomas+Elizabeth+College+for+Women+%7C+Arts+and+Science+College/data=!4m7!3m6!1s0x3a5265a7d29c46ed:0x2a6abbe94d5ce765!8m2!3d13.1239823!4d80.2444589!16s%2Fg%2F1tdflpqs!19sChIJ7Uac0qdlUjoRZedcTem7aio?authuser=0&hl=en&rclk=1,Tamil Nadu,,,,,
Jeppiaar College of Arts and Science,Arts and Science,Chennai,https://www.google.com/maps/place/Jeppiaar+College+of+Arts+and+Science/data=!4m7!3m6!1s0x3a525bac703a305f:0xb5a3ec357ece4ff0!8m2!3d12.8119844!4d80.2179429!16s%2Fg%2F11hq7b0c99!19sChIJXzA6cKxbUjoR8E_OfjXso7U?authuser=0&hl=en&rclk=1,Tamil Nadu,,,,,
Pachaiyappa's College,Arts and Science,Chennai,https://www.google.com/maps/place/Pachaiyappa%27s+College/data=!4m7!3m6!1s0x3a52667d97f04861:0x5a57422d00a1f092!8m2!3d13.0741357!4d80.2331819!16zL20vMGN2bTdz!19sChIJYUjwl31mUjoRkvChAC1CV1o?authuser=0&hl=en&rclk=1,Tamil Nadu,,,,,
Swami Vivekanada Arts and Science College,Arts and Science,Chennai,https://www.google.com/maps/place/Swami+Vivekanada+Arts+and+Science+College/data=!4m7!3m6!1s0x3a5261fb9cdc69ab:0x58887eead9073d42!8m2!3d13.0691902!4d80.1588059!16s%2Fg%2F11lq2y4ssm!19sChIJq2ncnPthUjoRQj0H2ep-iFg?authuser=0&hl=en&rclk=1,Tamil Nadu,,,,,
Soka Ikeda College of Arts and Science for Women,Arts and Science,Chennai,https://www.google.com/maps/place/Soka+Ikeda+College+of+Arts+and+Science+for+Women/data=!4m7!3m6!1s0x3a52637a61787ef1:0x882e02a8cf794e29!8m2!3d13.1315643!4d80.187187!16s%2Fg%2F1hc2_qz8b!19sChIJ8X54YXpjUjoRKU55z6gCLog?authuser=0&hl=en&rclk=1,Tamil Nadu,,,,,
Government Arts and Science College,Arts and Science,Chennai,https://www.google.com/maps/place/Government+Arts+and+Science+College/data=!4m7!3m6!1s0x3a5253d5d88a3efb:0x9417fa1979db1df3!8m2!3d12.7222338!4d80.227633!16s%2Fg%2F11b7g47y1t!19sChIJ-z6K2NVTUjoR8x3beRn6F5Q?authuser=0&hl=en&rclk=1,Tamil Nadu,,,,,
Madha Arts and Science College,Arts and Science,Chennai,https://www.google.com/maps/place/Madha+Arts+and+Science+College/data=!4m7!3m6!1s0x3a526139822d9633:0x553aa3bd6866ce6e!8m2!3d12.9903129!4d80.1226714!16s%2Fg%2F1v5_7vrf!19sChIJM5YtgjlhUjoRbs5maL2jOlU?authuser=0&hl=en&rclk=1,Tamil Nadu,,,,,
C Kandaswami Naidu College for Men,Arts and Science,Chennai,https://www.google.com/maps/place/C+Kandaswami+Naidu+College+for+Men/data=!4m7!3m6!1s0x3a52642679c31513:0xbc6aba3a35afa3a9!8m2!3d13.0856756!4d80.2177164!16s%2Fg%2F11gbldnwsk!19sChIJExXDeSZkUjoRqaOvNTq6arw?authuser=0&hl=en&rclk=1,Tamil Nadu,,,,,
SIVET College,Arts and Science,Chennai,https://www.google.com/maps/place/SIVET+College/data=!4m7!3m6!1s0x3a52666a3b499e4f:0xf4f441b0c409f24c!8m2!3d12.9235069!4d80.1683246!16s%2Fg%2F11gblf2gn9!19sChIJT55JO2pmUjoRTPIJxLBB9PQ?authuser=0&hl=en&rclk=1,Tamil Nadu,,,,,
Shri Shankarlal Sundarbai Shasun Jain College for Women,Arts and Science,Chennai,https://www.google.com/maps/place/Shri+Shankarlal+Sundarbai+Shasun+Jain+College+for+Women/data=!4m7!3m6!1s0x3a526701f37a3545:0x3db0f8b5eb565a8e!8m2!3d13.0350914!4d80.228635!16s%2Fm%2F0tkk9mc!19sChIJRTV68wFnUjoRjlpW67X4sD0?authuser=0&hl=en&rclk=1,Tamil Nadu,,,,,
Madras Christian College,Arts and Science,Chennai,https://www.google.com/maps/place/Madras+Christian+College/data=!4m7!3m6!1s0x3a525f150f0cc6fb:0xa49c35a74edfb973!8m2!3d12.9211251!4d80.1220616!16zL20vMDc2aGw4!19sChIJ-8YMDxVfUjoRc7nfTqc1nKQ?authuser=0&hl=en&rclk=1,Tamil Nadu,,,,,
S. A. College of Arts & Science,Arts and Science,Chennai,https://www.google.com/maps/place/S.+A.+College+of+Arts+%26+Science/data=!4m7!3m6!1s0x3a5261c48cf4d4fb:0xbf3bc027c826e2cd!8m2!3d13.0652982!4d80.1088294!16s%2Fg%2F11frr_4x3b!19sChIJ-9T0jMRhUjoRzeImyCfAO78?authuser=0&hl=en&rclk=1,Tamil Nadu,,,,,
Apollo Arts & Science College,Arts and Science,Chennai,https://www.google.com/maps/place/Apollo+Arts+%26+Science+College/data=!4m7!3m6!1s0x3a528c7a6ebe852d:0x8990940ac3b07cc!8m2!3d13.0348906!4d80.0121054!16s%2Fg%2F1th7wshs!19sChIJLYW-bnqMUjoRzAc7rEAJmQg?authuser=0&hl=en&rclk=1,Tamil Nadu,,,,,
Apollo Arts and Science College Chennai,Arts and Science,Chennai,https://www.google.com/maps/place/Apollo+Arts+and+Science+College+Chennai/data=!4m7!3m6!1s0x3a52573717822bcb:0x9e47b3b3fd633d1e!8m2!3d12.7638868!4d80.1073625!16s%2Fg%2F11g0ll7jdy!19sChIJyyuCFzdXUjoRHj1j_bOzR54?authuser=0&hl=en&rclk=1,Tamil Nadu,,,,,
Magna College of Arts & Science,Arts and Science,Chennai,https://www.google.com/maps/place/Magna+College+of+Arts+%26+Science/data=!4m7!3m6!1s0x3a52628a2d1e2b63:0x3045ad0bc18a69a9!8m2!3d13.2134906!4d80.0439124!16s%2Fm%2F080dk1h!19sChIJYyseLYpiUjoRqWmKwQutRTA?authuser=0&hl=en&rclk=1,Tamil Nadu,,,,,
Bharathi Women's College,Arts and Science,Chennai,https://www.google.com/maps/place/Bharathi+Women%27s+College/data=!4m7!3m6!1s0x3a526f5e3d6e595f:0x4459581211b63e25!8m2!3d13.1037487!4d80.2872318!16s%2Fg%2F11gbldxf80!19sChIJX1luPV5vUjoRJT62ERJYWUQ?authuser=0&hl=en&rclk=1,Tamil Nadu,,,,,
Sree Muthukumaraswamy College,Arts and Science,Chennai,https://www.google.com/maps/place/Sree+Muthukumaraswamy+College/data=!4m7!3m6!1s0x3a52650c9a92bc2d:0x4ddf882acacd17ee!8m2!3d13.1340646!4d80.2530381!16s%2Fg%2F1tgdl_6f!19sChIJLbySmgxlUjoR7hfNyiqI300?authuser=0&hl=en&rclk=1,Tamil Nadu,,,,,
M.O.P. Vaishnav College for Women,Arts and Science,Chennai,https://www.google.com/maps/place/M.O.P.+Vaishnav+College+for+Women/data=!4m7!3m6!1s0x3a5266410b0c8c13:0x472ce5ed9099aea7!8m2!3d13.0557886!4d80.250348!16s%2Fm%2F0h_8zj5!19sChIJE4wMC0FmUjoRp66ZkO3lLEc?authuser=0&hl=en&rclk=1,Tamil Nadu,,,,,
Meenakshi Arts And Science College,Arts and Science,Chennai,https://www.google.com/maps/place/Meenakshi+Arts+And+Science+College/data=!4m7!3m6!1s0x3a5266d2f54f3c59:0x92f301db5241a451!8m2!3d13.0428632!4d80.1890071!16s%2Fg%2F11ggzlx70q!19sChIJWTxP9dJmUjoRUaRBUtsB85I?authuser=0&hl=en&rclk=1,Tamil Nadu,,,,,
Presidency College Chennai,Arts and Science,Chennai,https://www.google.com/maps/place/Presidency+College+Chennai/data=!4m7!3m6!1s0x3a52689f44d7c04d:0x25c55acad925cf3!8m2!3d13.0587687!4d80.2818375!16zL20vMDMxdnk4!19sChIJTcDXRJ9oUjoR81ySraxVXAI?authuser=0&hl=en&rclk=1,Tamil Nadu,,,,,
Chellammal Women's College,Arts and Science,Chennai,https://www.google.com/maps/place/Chellammal+Women%27s+College/data=!4m7!3m6!1s0x3a52670d7cb68cc5:0x16633bbc0c38232c!8m2!3d13.0143745!4d80.2210213!16s%2Fm%2F0hgm_fl!19sChIJxYy2fA1nUjoRLCM4DLw7YxY?authuser=0&hl=en&rclk=1,Tamil Nadu,,,,,
Anna Adarsh College for Women,Arts and Science,Chennai,https://www.google.com/maps/place/Anna+Adarsh+College+for+Women/data=!4m7!3m6!1s0x3a526420041558ab:0x75a07dce5eb09fe8!8m2!3d13.0804911!4d80.2107564!16s%2Fg%2F11bbt3ws53!19sChIJq1gVBCBkUjoR6J-wXs59oHU?authuser=0&hl=en&rclk=1,Tamil Nadu,,,,,
Bharath Institute Of Arts And Science,Arts and Science,Chennai,https://www.google.com/maps/place/Bharath+Institute+Of+Arts+And+Science/data=!4m7!3m6!1s0x3a5259ace826ae55:0xc00270d3fb13fed1!8m2!3d12.896987!4d80.1415984!16s%2Fg%2F11f9wjr_v6!19sChIJVa4m6KxZUjoR0f4T-9NwAsA?authuser=0&hl=en&rclk=1,Tamil Nadu,,,,,
Sree Sastha Arts & Science College,Arts and Science,Chennai,https://www.google.com/maps/place/Sree+Sastha+Arts+%26+Science+College/data=!4m7!3m6!1s0x3a52613106555555:0x49a742ff56bf609d!8m2!3d13.0370785!4d80.057387!16s%2Fg%2F11j3k9_j1z!19sChIJVVVVBjFhUjoRnWC_Vv9Cp0k?authuser=0&hl=en&rclk=1,Tamil Nadu,,,,,
SMK Fomra College of Arts & Science,Arts and Science,Chennai,https://www.google.com/maps/place/SMK+Fomra+College+of+Arts+%26+Science/data=!4m7!3m6!1s0x3a5251d21b37a769:0xac941be5546a583a!8m2!3d12.7640933!4d80.2016501!16s%2Fg%2F11j_r4r88g!19sChIJaac3G9JRUjoROlhqVOUblKw?authuser=0&hl=en&rclk=1,Tamil Nadu,,,,,
SRI BALAJI ARTS & SCIENCE (CO-EDUCATION) COLLEGE,Arts and Science,Chennai,https://www.google.com/maps/place/SRI+BALAJI+ARTS+%26+SCIENCE+%28CO-EDUCATION%29+COLLEGE/data=!4m7!3m6!1s0x3a52589a26923757:0x8ea6a1454d032c13!8m2!3d12.8670237!4d80.1155484!16s%2Fg%2F11h8mqjqmn!19sChIJVzeSJppYUjoREywDTUWhpo4?authuser=0&hl=en&rclk=1,Tamil Nadu,,,,,
Jayagovind Harigopal Agarwal Agarsen College,Arts and Science,Chennai,https://www.google.com/maps/place/Jayagovind+Harigopal+Agarwal+Agarsen+College/data=!4m7!3m6!1s0x3a526527825004db:0x36c17f8a29eaa334!8m2!3d13.1578093!4d80.2325149!16s%2Fg%2F11fn79h50x!19sChIJ2wRQgidlUjoRNKPqKYp_wTY?authuser=0&hl=en&rclk=1,Tamil Nadu,,,,,
Ponnusamy Nadar Arts And Science College,Arts and Science,Chennai,https://www.google.com/maps/place/Ponnusamy+Nadar+Arts+And+Science+College/data=!4m7!3m6!1s0x3a528fa4c1a69231:0x977475d6826d2f3f!8m2!3d13.1309573!4d79.9540865!16s%2Fg%2F11b5wj3vjn!19sChIJMZKmwaSPUjoRPy9tgtZ1dJc?authuser=0&hl=en&rclk=1,Tamil Nadu,,,,,
Meenakshi College for Women,Arts and Science,Chennai,https://www.google.com/maps/place/Meenakshi+College+for+Women/data=!4m7!3m6!1s0x3a5266f47d842c53:0x40826b069bd6bd6b!8m2!3d13.0540581!4d80.2272253!16s%2Fm%2F0j62sg3!19sChIJUyyEffRmUjoRa73WmwZrgkA?authuser=0&hl=en&rclk=1,Tamil Nadu,,,,,
Tamilnadu Government Music College,Arts and Science,Chennai,https://www.google.com/maps/place/Tamilnadu+Government+Music+College/data=!4m7!3m6!1s0x3a5267c307b64477:0x3cf59af566ad5a7b!8m2!3d13.0161098!4d80.2628279!16s%2Fg%2F1tc_72hf!19sChIJd0S2B8NnUjoRe1qtZvWa9Tw?authuser=0&hl=en&rclk=1,Tamil Nadu,,,,,
TMG COLLEGE OF ARTS AND SCIENCE,Arts and Science,Chennai,https://www.google.com/maps/place/TMG+COLLEGE+OF+ARTS+AND+SCIENCE/data=!4m7!3m6!1s0x3a5266f5b1a548d7:0xa02f23bfdabf6423!8m2!3d13.054006!4d80.230271!16s%2Fg%2F11dfj24hxc!19sChIJ10ilsfVmUjoRI2S_2r8jL6A?authuser=0&hl=en&rclk=1,Tamil Nadu,,,,,
Sri Annai Kamakshi Music and Fine Arts College,Arts and Science,Chennai,https://www.google.com/maps/place/Sri+Annai+Kamakshi+Music+and+Fine+Arts+College/data=!4m7!3m6!1s0x3a5266d1517ae2af:0xddc9b0f1f11bad13!8m2!3d13.0394658!4d80.1949102!16s%2Fg%2F11dx93bknb!19sChIJr-J6UdFmUjoRE60b8fGwyd0?authuser=0&hl=en&rclk=1,Tamil Nadu,,,,,
AGURCHAND MANMULL JAIN COLLEGE,Arts and Science,Chennai,https://www.google.com/maps/place/AGURCHAND+MANMULL+JAIN+COLLEGE/data=!4m7!3m6!1s0x3a525e0305be150f:0x85a0453c427fd349!8m2!3d12.9848855!4d80.1794134!16s%2Fm%2F0269zcg!19sChIJDxW-BQNeUjoRSdN_QjxFoIU?authuser=0&hl=en&rclk=1,Tamil Nadu,,,,,
Shrimathi Devkunvar Nanalal Bhatt Vaishnav College For Women,Arts and Science,Chennai,https://www.google.com/maps/place/Shrimathi+Devkunvar+Nanalal+Bhatt+Vaishnav+College+For+Women/data=!4m7!3m6!1s0x3a525e4cf5804677:0xe45b3eb23e88728!8m2!3d12.9562452!4d80.1456489!16s%2Fg%2F1td688_j!19sChIJd0aA9UxeUjoRKIfoI-uzRQ4?authuser=0&hl=en&rclk=1,Tamil Nadu,,,,,
Ethiraj College For Women,Arts and Science,Chennai,https://www.google.com/maps/place/Ethiraj+College+For+Women/data=!4m7!3m6!1s0x3a5266138abd3357:0xd00cfea9a85f9abd!8m2!3d13.0626482!4d80.257155!16s%2Fm%2F047rcf6!19sChIJVzO9ihNmUjoRvZpfqKn-DNA?authuser=0&hl=en&rclk=1,Tamil Nadu,,,,,
"Vels Institute of Science, Technology & Advanced Studies (VISTAS)",Arts and Science,Chennai,"https://www.google.com/maps/place/Vels+Institute+of+Science,+Technology+%26+Advanced+Studies+%28VISTAS%29/data=!4m7!3m6!1s0x3a525e43ecc3adf7:0xa0ef3f153468699c!8m2!3d12.9575528!4d80.1598562!16s%2Fm%2F0gffyp_!19sChIJ963D7ENeUjoRnGloNBU_76A?authuser=0&hl=en&rclk=1",Tamil Nadu,,,,,
PRINCE SHRI BALAJI ARTS AND SCIENCE COLLEGE,Arts and Science,Chennai,https://www.google.com/maps/place/PRINCE+SHRI+BALAJI+ARTS+AND+SCIENCE+COLLEGE/data=!4m7!3m6!1s0x3a525956a3f6d71d:0x63399075167aa50a!8m2!3d12.8529224!4d80.1714185!16s%2Fg%2F11nx1xycl3!19sChIJHdf2o1ZZUjoRCqV6FnWQOWM?authuser=0&hl=en&rclk=1,Tamil Nadu,,,,,
Sacred Heart College. Satya Nilayam,Arts and Science,Chennai,https://www.google.com/maps/place/Sacred+Heart+College.+Satya+Nilayam/data=!4m7!3m6!1s0x3a525d5d846a0fbf:0xab9cc134b75224f0!8m2!3d12.9818161!4d80.2556084!16s%2Fg%2F11c1wxm_y6!19sChIJvw9qhF1dUjoR8CRStzTBnKs?authuser=0&hl=en&rclk=1,Tamil Nadu,,,,,
BHARATH Faculty of Arts & Science,Arts and Science,Chennai,https://www.google.com/maps/place/BHARATH+Faculty+of+Arts+%26+Science/data=!4m7!3m6!1s0x3a525917188fb42b:0x41033555df1b3a3!8m2!3d12.8960419!4d80.1430199!16s%2Fg%2F11mvgm8w2r!19sChIJK7SPGBdZUjoRo7PxXVUzEAQ?authuser=0&hl=en&rclk=1,Tamil Nadu,,,,,
Dharmamurthi Rao Bahadur Calavala Cunnan Chetty Hindu College,Arts and Science,Chennai,https://www.google.com/maps/place/Dharmamurthi+Rao+Bahadur+Calavala+Cunnan+Chetty+Hindu+College/data=!4m7!3m6!1s0x3a52627e49fa92a5:0x53821dbf20ec31f3!8m2!3d13.123516!4d80.0739726!16s%2Fm%2F03gyl5t!19sChIJpZL6SX5iUjoR8zHsIL8dglM?authuser=0&hl=en&rclk=1,Tamil Nadu,,,,,
Sri Sankara Arts and Science College (Autonomous),Arts and Science,Chennai,https://www.google.com/maps/place/Sri+Sankara+Arts+and+Science+College+%28Autonomous%29/data=!4m7!3m6!1s0x3a52c20c8ad79c01:0x83186bcefc0a18c4!8m2!3d12.8589995!4d79.7318237!16s%2Fg%2F1tftjmzm!19sChIJAZzXigzCUjoRxBgK_M5rGIM?authuser=0&hl=en&rclk=1,Tamil Nadu,,,,,
Aset Administrative Office,Arts and Science,Chennai,https://www.google.com/maps/place/Aset+Administrative+Office/data=!4m7!3m6!1s0x3a5261421d088ed1:0x2b23d7c1e3bff572!8m2!3d13.038539!4d80.043234!16s%2Fg%2F11cn6v32f8!19sChIJ0Y4IHUJhUjoRcvW_48HXIys?authuser=0&hl=en&rclk=1,Tamil Nadu,,,,,
Guru Nanak College,Arts and Science,Chennai,https://www.google.com/maps/place/Guru+Nanak+College/data=!4m7!3m6!1s0x3a525d9a9c244513:0x88b21b30df9208e8!8m2!3d12.992917!4d80.2218964!16s%2Fm%2F02w4wc8!19sChIJE0UknJpdUjoR6AiS3zAbsog?authuser=0&hl=en&rclk=1,Tamil Nadu,,,,,
S.A. Engineering college,Arts and Science,Chennai,https://www.google.com/maps/place/S.A.+Engineering+college/data=!4m7!3m6!1s0x3a5261f03d683eef:0x435901811125ddfb!8m2!3d13.0663298!4d80.1111821!16s%2Fm%2F0h95zph!19sChIJ7z5oPfBhUjoR-90lEYEBWUM?authuser=0&hl=en&rclk=1,Tamil Nadu,,,,,
Women's Christian College,Arts and Science,Chennai,https://www.google.com/maps/place/Women%27s+Christian+College/data=!4m7!3m6!1s0x3a52666e06185a7b:0x2ff1faae1df5aabb!8m2!3d13.0677774!4d80.2495386!16zL20vMGNtZ3ox!19sChIJe1oYBm5mUjoRu6r1Ha768S8?authuser=0&hl=en&rclk=1,Tamil Nadu,,,,,
Patrician Arts College,Arts and Science,Chennai,https://www.google.com/maps/place/Patrician+Arts+College/data=!4m7!3m6!1s0x3a5267917b12cfd3:0x737a69cb146d5f0d!8m2!3d13.0134025!4d80.2491561!16s%2Fg%2F11dfpjsqqb!19sChIJ088Se5FnUjoRDV9tFMtpenM?authuser=0&hl=en&rclk=1,Tamil Nadu,,,,,
St.Britto's College Chennai,Arts and Science,Chennai,https://www.google.com/maps/place/St.Britto%27s+College+Chennai/data=!4m7!3m6!1s0x3a52675c0eb7a957:0x24e42f915234863a!8m2!3d12.9954442!4d80.2045618!16s%2Fg%2F1264fy_hq!19sChIJV6m3DlxnUjoROoY0UpEv5CQ?authuser=0&hl=en&rclk=1,Tamil Nadu,,,,,
VEL TECH RANGA SANKU ARTS COLLEGE,Arts and Science,Chennai,https://www.google.com/maps/place/VEL+TECH+RANGA+SANKU+ARTS+COLLEGE/data=!4m7!3m6!1s0x3a527d60a108664f:0x58a3e528f42c4b8f!8m2!3d13.1899118!4d80.1025591!16s%2Fg%2F11b806x_z1!19sChIJT2YIoWB9UjoRj0ss9Cjlo1g?authuser=0&hl=en&rclk=1,Tamil Nadu,,,,,
SRM University Vadapalani City Campus,Arts and Science,Chennai,https://www.google.com/maps/place/SRM+University+Vadapalani+City+Campus/data=!4m7!3m6!1s0x3a5266ea218fc7e3:0x70bbbca6edfc9243!8m2!3d13.0517901!4d80.2104532!16s%2Fg%2F11bw65hl4b!19sChIJ48ePIepmUjoRQ5L87aa8u3A?authuser=0&hl=en&rclk=1,Tamil Nadu,,,,,
Jeppiaar Engineering College,Arts and Science,Chennai,https://www.google.com/maps/place/Jeppiaar+Engineering+College/data=!4m7!3m6!1s0x3a525bbace477413:0xf70e4decbbd645ea!8m2!3d12.8662594!4d80.2204923!16s%2Fm%2F05c1sl9!19sChIJE3RHzrpbUjoR6kXWu-xNDvc?authuser=0&hl=en&rclk=1,Tamil Nadu,,,,,
Stella Matutina College Of Education,Arts and Science,Chennai,https://www.google.com/maps/place/Stella+Matutina+College+Of+Education/data=!4m7!3m6!1s0x3a5266e7623487fd:0x43970f2063444944!8m2!3d13.0420604!4d80.2097802!16s%2Fm%2F03nsgz3!19sChIJ_Yc0YudmUjoRRElEYyAPl0M?authuser=0&hl=en&rclk=1,Tamil Nadu,,,,,
Valliammal College for Women,Arts and Science,Chennai,https://www.google.com/maps/place/Valliammal+College+for+Women/data=!4m7!3m6!1s0x3a5264260bf270db:0xd459b80777a4ab35!8m2!3d13.0863135!4d80.2197922!16s%2Fg%2F1td_3lw6!19sChIJ23DyCyZkUjoRNaukdwe4WdQ?authuser=0&hl=en&rclk=1,Tamil Nadu,,,,,
SRM Easwari Engineering College,Arts and Science,Chennai,https://www.google.com/maps/place/SRM+Easwari+Engineering+College/data=!4m7!3m6!1s0x3a5260d62bc6942b:0x8cd23707b2ddfb87!8m2!3d13.0319997!4d80.1794218!16s%2Fm%2F0h3snc4!19sChIJK5TGK9ZgUjoRh_vdsgc30ow?authuser=0&hl=en&rclk=1,Tamil Nadu,,,,,
SRM Institute Of Science And Technology,Arts and Science,Chennai,https://www.google.com/maps/place/SRM+Institute+Of+Science+And+Technology/data=!4m7!3m6!1s0x3a5266d11f9ca625:0xf77d1733be7b5b74!8m2!3d13.0322541!4d80.1807376!16s%2Fg%2F1tdvsr4b!19sChIJJaacH9FmUjoRdFt7vjMXffc?authuser=0&hl=en&rclk=1,Tamil Nadu,,,,,
Mohamed Sathak A.J. College of Engineering,Arts and Science,Chennai,https://www.google.com/maps/place/Mohamed+Sathak+A.J.+College+of+Engineering/data=!4m7!3m6!1s0x3a525a4499bb91f3:0x7eaff885438a07f4!8m2!3d12.8357768!4d80.2185973!16s%2Fg%2F1ttq0jm4!19sChIJ85G7mURaUjoR9AeKQ4X4r34?authuser=0&hl=en&rclk=1,Tamil Nadu,,,,,
Bhaktavatsalam Memorial College for Women,Arts and Science,Chennai,https://www.google.com/maps/place/Bhaktavatsalam+Memorial+College+for+Women/data=!4m7!3m6!1s0x3a526389167d636f:0x8a9122364e0ce7ca!8m2!3d13.1088659!4d80.1825205!16s%2Fg%2F1tz6_tsk!19sChIJb2N9FoljUjoRyucMTjYikYo?authuser=0&hl=en&rclk=1,Tamil Nadu,,,,,
Saveetha College of Liberal Arts and Sciences(SCALF),Arts and Science,Chennai,https://www.google.com/maps/place/Saveetha+College+of+Liberal+Arts+and+Sciences%28SCALF%29/data=!4m7!3m6!1s0x3a528bc8c643a5d3:0x48d8788a9cfac6a8!8m2!3d13.029224!4d80.018717!16s%2Fg%2F11v0rj10wr!19sChIJ06VDxsiLUjoRqMb6nIp42Eg?authuser=0&hl=en&rclk=1,Tamil Nadu,,,,,
Chennai Institute of Technology,Arts and Science,Chennai,https://www.google.com/maps/place/Chennai+Institute+of+Technology/data=!4m7!3m6!1s0x3a52f4d07355bab5:0xbb6063169c4ed4d9!8m2!3d12.9715628!4d80.043079!16s%2Fm%2F0ztgzpg!19sChIJtbpVc9D0UjoR2dROnBZjYLs?authuser=0&hl=en&rclk=1,Tamil Nadu,,,,,
KCG College of Technology,Arts and Science,Chennai,https://www.google.com/maps/place/KCG+College+of+Technology/data=!4m7!3m6!1s0x3a525c8cd40b76e7:0x681487984b55f7bb!8m2!3d12.9213318!4d80.2398692!16s%2Fm%2F0h9712j!19sChIJ53YL1IxcUjoRu_dVS5iHFGg?authuser=0&hl=en&rclk=1,Tamil Nadu,,,,,
John Bosco Arts and Science College,Arts and Science,Chennai,https://www.google.com/maps/place/John+Bosco+Arts+and+Science+College/data=!4m7!3m6!1s0x3a52902de6376d61:0x2829f6ead54924b6!8m2!3d13.1155645!4d79.9226866!16s%2Fg%2F11b8069tkf!19sChIJYW035i2QUjoRtiRJ1er2KSg?authuser=0&hl=en&rclk=1,Tamil Nadu,,,,,
Dr. M.G.R. Educational And Research Institute,Arts and Science,Chennai,https://www.google.com/maps/place/Dr.+M.G.R.+Educational+And+Research+Institute/data=!4m7!3m6!1s0x3a5261504145fe7d:0x58810f43c3a748ae!8m2!3d13.069378!4d80.1779609!16s%2Fm%2F05q5w0l!19sChIJff5FQVBhUjoRrkinw0MPgVg?authuser=0&hl=en&rclk=1,Tamil Nadu,,,,,
St Joseph's College Of Engineering,Arts and Science,Chennai,https://www.google.com/maps/place/St+Joseph%27s+College+Of+Engineering/data=!4m7!3m6!1s0x3a525bbeb0b2eeb7:0x2cb8fc0ae9b16ed5!8m2!3d12.8698765!4d80.2184272!16s%2Fm%2F02798rx!19sChIJt-6ysL5bUjoR1W6x6Qr8uCw?authuser=0&hl=en&rclk=1,Tamil Nadu,,,,,
IIT Madras Campus,Arts and Science,Chennai,https://www.google.com/maps/place/IIT+Madras+Campus/data=!4m7!3m6!1s0x3a5267101c040835:0x954a8679bd58b2b4!8m2!3d13.0061185!4d80.2419075!16s%2Fg%2F11ptwqn4jc!19sChIJNQgEHBBnUjoRtLJYvXmGSpU?authuser=0&hl=en&rclk=1,Tamil Nadu,,,,,
Panimalar Engineering College,Arts and Science,Chennai,https://www.google.com/maps/place/Panimalar+Engineering+College/data=!4m7!3m6!1s0x3a5261c68a9f3031:0xab41c8bdcf32ad47!8m2!3d13.0489049!4d80.0754642!16s%2Fm%2F03d0n7q!19sChIJMTCfisZhUjoRR60yz73IQas?authuser=0&hl=en&rclk=1,Tamil Nadu,,,,,
Rathinam College Of Arts And Science,Arts and Science,Coimbatore,https://www.google.com/maps/place/Rathinam+College+Of+Arts+And+Science/data=!4m7!3m6!1s0x3ba839d134a9407f:0x7738f23838219623!8m2!3d10.9346282!4d76.9786845!16s%2Fm%2F02qrvvs!19sChIJf0CpNNE5qDsRI5YhODjyOHc?authuser=0&hl=en&rclk=1,Tamil Nadu,,,,,
Government Arts College,Arts and Science,Coimbatore,https://www.google.com/maps/place/Government+Arts+College/data=!4m7!3m6!1s0x3ba859a461577c75:0xac4dcf7e470ea0e4!8m2!3d10.9985103!4d76.9721631!16s%2Fm%2F0h950b7!19sChIJdXxXYaRZqDsR5KAOR37PTaw?authuser=0&hl=en&rclk=1,Tamil Nadu,,,,,
