College Name,Stream,District,Location,State,Fees per Year (\u20B9),Placement %,Rank,Accreditation,Courses Offered (comma-separated)
A.P.C. Mahalaxmi College for Women,Arts and Science,Tirunelveli,https://www.google.com/maps/place/A.P.C.+Mahalaxmi+College+for+Women/data=!4m7!3m6!1s0x3b03e55e926b025d:0x793009466c64c7a7!8m2!3d8.827121!4d78.12928!16s%2Fg%2F11fy_qqh1l!19sChIJXQJrkl7lAzsRp8dkbEYJMHk?authuser=0&hl=en&rclk=1,Tamil Nadu,,,,,
"Annai Velankanni College, Tholayavattam",Arts and Science,Tirunelveli,"https://www.google.com/maps/place/Annai+Velankanni+College,+Tholayavattam/data=!4m7!3m6!1s0x3b04ffecb4c8de51:0xbdc5165b23a55e4e!8m2!3d8.2623593!4d77.2136002!16s%2Fm%2F0cr54c9!19sChIJUd7ItOz_BDsRTl6lI1sWxb0?authuser=0&hl=en&rclk=1",Tamil Nadu,,,,,
Government College Of Engineering,Arts and Science,Tirunelveli,https://www.google.com/maps/place/Government+College+Of+Engineering/data=!4m7!3m6!1s0x3b04126138dab5e1:0xc295f682e7eeb40d!8m2!3d8.6860755!4d77.725781!16s%2Fm%2F02w4rbb!19sChIJ4bXaOGESBDsRDbTu54L2lcI?authuser=0&hl=en&rclk=1,Tamil Nadu,,,,,
J.P. College of Engineering,Arts and Science,Tirunelveli,https://www.google.com/maps/place/J.P.+College+of+Engineering/data=!4m7!3m6!1s0x3b0682f1bfffffff:0x53bc1e151eeffbd1!8m2!3d8.9925037!4d77.3309686!16s%2Fm%2F09v9ys6!19sChIJ____v_GCBjsR0fvvHhUevFM?authuser=0&hl=en&rclk=1,Tamil Nadu,,,,,
Madurai Kamaraj University,Arts and Science,Tirunelveli,https://www.google.com/maps/place/Madurai+Kamaraj+University/data=!4m7!3m6!1s0x3b00cc1ae7231cc5:0xd69d09e3eb9c4b0b!8m2!3d9.9403922!4d78.0105374!16zL20vMDkxY2wz!19sChIJxRwj5xrMADsRC0uc6-MJndY?authuser=0&hl=en&rclk=1,Tamil Nadu,,,,,
ST.THOMAS COLLEGE OF ARTS AND SCIENCE,Arts and Science,Chennai,https://www.google.com/maps/place/ST.THOMAS+COLLEGE+OF+ARTS+AND+SCIENCE/data=!4m7!3m6!1s0x3a5266a85d96589f:0x62d335a398906b91!8m2!3d13.0767404!4d80.1970152!16s%2Fm%2F0bwgxbm!19sChIJn1iWXahmUjoRkWuQmKM102I?authuser=0&hl=en&rclk=1,Tamil Nadu,,,,,
Mohamed Sathak College Of Arts & Science,Arts and Science,Chennai,https://www.google.com/maps/place/Mohamed+Sathak+College+Of+Arts+%26+Science/data=!4m7!3m6!1s0x3a525e80a50cc7e7:0xaab7263096dfea53!8m2!3d12.9004674!4d80.2238352!16s%2Fg%2F11j8k8nx35!19sChIJ58cMpYBeUjoRU-rfljAmt6o?authuser=0&hl=en&rclk=1,Tamil Nadu,,,,,
Patrician College of Arts and Science,Arts and Science,Chennai,https://www.google.com/maps/place/Patrician+College+of+Arts+and+Science/data=!4m7!3m6!1s0x3a5267f29aa9a61f:0x6a79a69edf60842a!8m2!3d13.0137476!4d80.2490897!16s%2Fm%2F047ccqd!19sChIJH6apmvJnUjoRKoRg356meWo?authuser=0&hl=en&rclk=1,Tamil Nadu,,,,,
Annai Violet Arts and Science College,Arts and Science,Chennai,https://www.google.com/maps/place/Annai+Violet+Arts+and+Science+College/data=!4m7!3m6!1s0x3a52639e1733c283:0x46bab2b2d3767041!8m2!3d13.1230117!4d80.1696219!16s%2Fm%2F0kbg0kt!19sChIJg8IzF55jUjoRQXB207KyukY?authuser=0&hl=en&rclk=1,Tamil Nadu,,,,,
Alpha Arts and Science College,Arts and Science,Chennai,https://www.google.com/maps/place/Alpha+Arts+and+Science+College/data=!4m7!3m6!1s0x3a526109c9d3ce3f:0x77ed013e5f207d4e!8m2!3d13.0467808!4d80.142792!16s%2Fm%2F02r3h35!19sChIJP87TyQlhUjoRTn0gXz4B7Xc?authuser=0&hl=en&rclk=1,Tamil Nadu,,,,,
St. Joseph’s College (Arts & Science),Arts and Science,Chennai,https://www.google.com/maps/place/St.+Joseph%E2%80%99s+College+%28Arts+%26+Science%29/data=!4m7!3m6!1s0x3a5260fd4b000001:0xf1d11f0f2f8379be!8m2!3d13.0046865!4d80.1206129!16s%2Fg%2F1td23w1n!19sChIJAQAAS_1gUjoRvnmDLw8f0fE?authuser=0&hl=en&rclk=1,Tamil Nadu,,,,,
Chennai College of Arts and Science,Arts and Science,Chennai,https://www.google.com/maps/place/Chennai+College+of+Arts+and+Science/data=!4m7!3m6!1s0x3a525d9c69611c79:0xd3674a7fbd7851c8!8m2!3d12.9237598!4d80.2233507!16s%2Fg%2F11nwb624kh!19sChIJeRxhaZxdUjoRyFF4vX9KZ9M?authuser=0&hl=en&rclk=1,Tamil Nadu,,,,,
Kumararani Meena Muthiah College of Arts and Science,Arts and Science,Chennai,https://www.google.com/maps/place/Kumararani+Meena+Muthiah+College+of+Arts+and+Science/data=!4m7!3m6!1s0x3a5267950fed676d:0x7df4c8581820aa95!8m2!3d13.0103862!4d80.2520408!16s%2Fg%2F1tqpxp4f!19sChIJbWftD5VnUjoRlaogGFjI9H0?authuser=0&hl=en&rclk=1,Tamil Nadu,,,,,
Mar Gregorios college,Arts and Science,Chennai,https://www.google.com/maps/place/Mar+Gregorios+college/data=!4m7!3m6!1s0x3a5263e247ec70d1:0xe3df23f6d79cc63!8m2!3d13.0799397!4d80.1722695!16s%2Fm%2F0462z00!19sChIJ0XDsR-JjUjoRY8x5bT_yPQ4?authuser=0&hl=en&rclk=1,Tamil Nadu,,,,,
Hindustan College of Arts & Science,Arts and Science,Chennai,https://www.google.com/maps/place/Hindustan+College+of+Arts+%26+Science/data=!4m7!3m6!1s0x3a5250876d5becf1:0xf47082ff16354174!8m2!3d12.800297!4d80.2307707!16s%2Fg%2F11c6rbj03w!19sChIJ8exbbYdQUjoRdEE1Fv-CcPQ?authuser=0&hl=en&rclk=1,Tamil Nadu,,,,,
Annai Veilankanni’s College of Arts and Science,Arts and Science,Chennai,https://www.google.com/maps/place/Annai+Veilankanni%E2%80%99s+College+of+Arts+and+Science/data=!4m7!3m6!1s0x3a525d230dabdbbb:0xee742c6c01c8786d!8m2!3d13.0196416!4d80.2152495!16s%2Fg%2F11btxkyhf9!19sChIJu9urDSNdUjoRbXjIAWwsdO4?authuser=0&hl=en&rclk=1,Tamil Nadu,,,,,
TMG College of Arts and Science,Arts and Science,Chennai,https://www.google.com/maps/place/TMG+College+of+Arts+and+Science/data=!4m7!3m6!1s0x3a525e0017dba309:0xf67ae592c57dfce8!8m2!3d12.9175043!4d80.0530187!16s%2Fg%2F1tnqfdsb!19sChIJCaPbFwBeUjoR6Px9xZLlevY?authuser=0&hl=en&rclk=1,Tamil Nadu,,,,,
Tagore College Of Arts And Science,Arts and Science,Chennai,https://www.google.com/maps/place/Tagore+College+Of+Arts+And+Science/data=!4m7!3m6!1s0x3a525fb22644e9e7:0x61af521accc00cea!8m2!3d12.9552342!4d80.1354615!16s%2Fg%2F11btxkgtvs!19sChIJ5-lEJrJfUjoR6gzAzBpSr2E?authuser=0&hl=en&rclk=1,Tamil Nadu,,,,,
Nazareth College of Arts and Science,Arts and Science,Chennai,https://www.google.com/maps/place/Nazareth+College+of+Arts+and+Science/data=!4m7!3m6!1s0x3a5262a65c217f55:0x77a2b22805879fc0!8m2!3d13.153143!4d80.1022136!16s%2Fg%2F11c58tfg18!19sChIJVX8hXKZiUjoRwJ-HBSiyonc?authuser=0&hl=en&rclk=1,Tamil Nadu,,,,,
Dr. MGR Janaki College of Arts and Science for Women,Arts and Science,Chennai,https://www.google.com/maps/place/Dr.+MGR+Janaki+College+of+Arts+and+Science+for+Women/data=!4m7!3m6!1s0x3a5267c22b884cdd:0x740a68cd91391850!8m2!3d13.0164363!4d80.2607843!16zL20vMGgzczB3!19sChIJ3UyIK8JnUjoRUBg5kc1oCnQ?authuser=0&hl=en&rclk=1,Tamil Nadu,,,,,
Chennai National Arts and Science College,Arts and Science,Chennai,https://www.google.com/maps/place/Chennai+National+Arts+and+Science+College/data=!4m7!3m6!1s0x3a526267dff6ef15:0x2d68dceb3ded5311!8m2!3d13.109143!4d80.117687!16s%2Fg%2F119w9v5h0!19sChIJFe_232diUjoREVPtPevcaC0?authuser=0&hl=en&rclk=1,Tamil Nadu,,,,,
Avichi College Of Arts and Science,Arts and Science,Chennai,https://www.google.com/maps/place/Avichi+College+Of+Arts+and+Science/data=!4m7!3m6!1s0x3a5266cf9cac7bab:0x9780ed12f09bd13a!8m2!3d13.0475775!4d80.1979236!16s%2Fg%2F11gh2t15m8!19sChIJq3usnM9mUjoROtGb8BLtgJc?authuser=0&hl=en&rclk=1,Tamil Nadu,,,,,
Dr.Ambedkar Government Arts College,Arts and Science,Chennai,https://www.google.com/maps/place/Dr.Ambedkar+Government+Arts+College/data=!4m7!3m6!1s0x3a52659a17672ead:0xa70f4b82b3a72703!8m2!3d13.1168811!4d80.2600751!16s%2Fg%2F11dxjvxw0f!19sChIJrS5nF5plUjoRAyens4JLD6c?authuser=0&hl=en&rclk=1,Tamil Nadu,,,,,
Don Bosco Arts & Science College,Arts and Science,Chennai,https://www.google.com/maps/place/Don+Bosco+Arts+%26+Science+College/data=!4m7!3m6!1s0x3a526678c5422f4d:0x75932e8c4f9c1e50!8m2!3d13.0790086!4d80.2380605!16s%2Fg%2F11cmcdqc3k!19sChIJTS9CxXhmUjoRUB6cT4wuk3U?authuser=0&hl=en&rclk=1,Tamil Nadu,,,,,
K.C.S.Kasi Nadar College of Arts & Science,Arts and Science,Chennai,https://www.google.com/maps/place/K.C.S.Kasi+Nadar+College+of+Arts+%26+Science/data=!4m7!3m6!1s0x3a526f7c41311f7d:0x156edf97bbb6ec5d!8m2!3d13.1199021!4d80.2805077!16s%2Fg%2F1w0sb91h!19sChIJfR8xQXxvUjoRXey2u5ffbhU?authuser=0&hl=en&rclk=1,Tamil Nadu,,,,,
Jaya College Of Arts And Science,Arts and Science,Chennai,https://www.google.com/maps/place/Jaya+College+Of+Arts+And+Science/data=!4m7!3m6!1s0x3a5288fc50d64a63:0xec827adce7074b36!8m2!3d13.1233678!4d80.0449983!16s%2Fm%2F0cw1fks!19sChIJY0rWUPyIUjoRNksH59x6guw?authuser=0&hl=en&rclk=1,Tamil Nadu,,,,,
