Scholarship Name,Provider,Amount,Eligibility ,Application Link
"NSP Pre-Matric Scholarship for OBC Students, Assam 2025-26",Government of Assam,"A consolidated academic allowance of ₹4,000 per annum",OBC students studying in Class 9 and 10,https://www.buddy4study.com/scholarship/nsp-prematric-scholarship-for-obc-students-assam-2025
"NSP Pre-Matric Scholarship for SC Students (Class 9 & 10), Assam 2025-26",Government of Assam,"A consolidated annual academic allowance up to ₹7,000",SC students studying in Class 9 and 10,https://www.buddy4study.com/page/nsp-assam-scholarships
"NSP Pre-Matric Scholarship Scheme For SC Students (Class 9 & 10), Chandigarh 2025-26",Government of Chandigarh,Up to ₹525 per month for 10 months and other benefits,SC students in Class 9 and 10,https://www.buddy4study.com/scholarship/nsp-prematric-scholarship-scheme-for-sc-students-class-9-10-chandigarh-2025
"NSP Pre-Matric Scholarship For SC Students Component II (Class 1 - 10), Assam 2025",Government of Assam,"A consolidated academic allowance of up to ₹8,000 per annum",SC students of Assam studying in Classes 1 to 10,https://www.buddy4study.com/scholarship/nsp-prematric-sholarship-for-sc-students-component-II-class-1-10-assam-2025
"NSP Pre-Matric Scholarship for SC Students (Class 9 & 10), Sikkim 2025",Government of Sikkim,"A consolidated academic allowance up to ₹7,000 per annum and an extra allowance for disabled students",SC Students of Class 9 and 10,https://www.buddy4study.com/scholarship/nsp-prematric-scholarship-for-sc-students-class-9-10-sikkim-2025
"NSP Centrally Sponsored Post-Matric Scholarship to SC Students, Sikkim 2025",Government of Sikkim,"An annual academic allowance up to ₹13,500 and other benefits",SC students studying in Class 11 and above,https://www.buddy4study.com/scholarship/nsp-centrally-sponsored-postmatric-scholarship-to-sc-students-sikkim-2025
Physics Wallah National Scholarship-Cum-Admission Test (PWNSAT) 2025,Physics Wallah,Up to 100% scholarships and other benefits,Class 5 to 12 students and JEE/NEET aspirants,https://www.buddy4study.com/scholarship/physics-wallah-national-scholarship-cum-admission-test-pwnsat-2025
"NSP Centrally Sponsored Post-Matric Scholarship For SC Students, Manipur 2025-26",Government of Manipur,"An academic allowance of up to ₹13,500 and other benefits",Scheduled Caste (SC) students studying in Class 11 and above,https://www.buddy4study.com/scholarship/nsp-centrally-sponsored-post-matric-scholarship-for-sc-students-manipur-2025-26
"NSP Centrally Sponsored Pre-Matric Scholarship For SC Students (Class 9 & 10), Manipur 2025-26",Government of Manipur,"A consolidated academic allowance up to ₹7,000 and other benefits",Scheduled Caste (SC) students of Manipur studying in Class 9 and 10,https://www.buddy4study.com/scholarship/nsp-centrally-sponsored-pre-matric-scholarship-for-sc-students-class-9-10-manipur-2025-26
Buddy4Study Stream Selector Test,,"Report, certificate & many more",Class 10 passed students,https://www.buddy4study.com/page/buddy4study-career-test
"Post-Matric Tuition Fee and Examination Fee (Freeship), Maharashtra 2025-26",,"A reimbursement of tuition fees, exam fees and other admissible fees",Students in Class 11 and above,https://www.buddy4study.com/scholarship/postmatric-tuition-fee-and-examination-fee-freeship-maharashtra-2025
"Government of India Post-Matric Scholarship, Maharashtra 2025-26",,"A monthly maintenance allowance up to ₹1,200 and other benefits",Students in Class 11 and above,https://www.buddy4study.com/scholarship/government-of-india-postmatric-scholarship-maharashtra-2025
"Merit Scholarships for EBC Students, Maharashtra 2025-26",,Up to ₹160 per month for 10 months,Class 11 or 12 students,https://www.buddy4study.com/scholarship/merit-scholarships-for-ebc-students-maharashtra-2025
"Open Merit Scholarships in Junior College, Maharashtra 2025-26",,A scholarship of ₹500 for 10 months,Students enrolled in Class 11 and 12,https://www.buddy4study.com/scholarship/open-merit-scholarships-in-junior-college-maharashtra-2025
"Assistance to Meritorious Students Scholarship - Senior Level, Maharashtra 2025-26",,"Scholarship up to ₹72,000 per annum",Students studying in Class 11 and above,https://www.buddy4study.com/scholarship/assistance-to-meritorious-students-scholarship-senior-level-maharashtra-2025
Masters' Union: Scholarship-cum-Admission Seats (SAS) Program 2025 (UG in Data Science & Artificial Intelligence),,Tuition fee waiver  of up to 80%,For Undergraduate students,https://www.buddy4study.com/page/masters-union-scholarship-aptitude-test-2026
College Board 90% Fee Waiver Program,,Tuition fee waiver,Class 11 and 12,https://www.buddy4study.com/collegeboard
nurtr Nurturing Minds with Chess Program (90% Fee Waiver) 2025-26,,90% fee waiver,School or college students under the age range of 5 to 25 years,https://www.buddy4study.com/nurtneo
Buddy4Study Psychometric Test,,"Report, certificate & many more",Candidates must have passed Class 10 or must be pursuing higher education.,https://www.buddy4study.com/page/buddy4study-career-test
"Tuition Fees and Examination Fees to SBC Students, Maharashtra 2025-26",,100% tuition fees and examination fees reimbursement,SBC students in Class 11 and above,https://www.buddy4study.com/scholarship/tuition-fees-and-examination-fees-to-sbc-students-maharashtra-2025
"Tuition Fees and Examination Fees to OBC Students, Maharashtra 2025-26",,"Up to 100% reimbursement in tuition, exams, and other admissible fees",OBC students studying in Class 11 and above,https://www.buddy4study.com/scholarship/tuition-fees-and-examination-fees-to-obc-students-maharashtra-2025-26
"Post-Matric Scholarship to OBC Students, Maharashtra 2025-26",,A monthly maintenance allowance up to ₹425 and other benefits,OBC students studying in Class 11 and above,https://www.buddy4study.com/scholarship/post-matric-scholarship-to-obc-students-maharashtra-2025-26
"Post-Matric Scholarship to SBC Students, Maharashtra 2025-26",,A monthly maintenance allowance up to ₹425 and other benefits,SBC students studying in Class 11 and above,https://www.buddy4study.com/scholarship/postmatric-scholarship-to-sbc-students-maharashtra-2025
"Rajarshi Chhatrapati Shahu Maharaj Merit Scholarship for VJNT and SBC Category, Maharashtra 2025-26",,A monthly scholarship of ₹300 for 10 months,Students enrolled in Class 11 and 12,https://www.buddy4study.com/scholarship/rajarshi-chhatrapati-shahu-maharaj-merit-scholarship-for-vjnt-and-sbc-category-maharashtra-2025
"Tuition Fees and Examination Fees to VJNT Students, Maharashtra 2025-26",,"Up to 100% reimbursement for tuition, exams, and other admissible fees",VJNT category students studying at post-matric level,https://www.buddy4study.com/scholarship/tuition-fees-and-examination-fees-to-vjnt-students-maharashtra-2025
"Post-Matric Scholarship to VJNT Students, Maharashtra 2025-26",,A monthly maintenance allowance up to ₹425 and other benefits,VJNT category students studying in Class 11 and above,https://www.buddy4study.com/scholarship/post-matric-scholarship-to-vjnt-students-maharashtra-2025
"Government Vidyaniketan Scholarship, Maharashtra 2025-26",,₹100 per month,Class 10 passed students from Government Vidhyaniketan,https://www.buddy4study.com/scholarship/government-vidyaniketan-scholarship-maharashtra-2025
"Post-Matric Scholarship Scheme Government of India, Maharashtra 2025-26",,Vocational education fee reimbursement,Class 10 passed ST students,https://www.buddy4study.com/scholarship/postmatric-scholarship-scheme-government-of-india-maharashtra-2025
"Post-Matric Scholarship for Persons with Disability, Maharashtra 2025-26",,"A monthly maintenance allowance up to ₹1,200 and other benefits",Disabled students studying in Class 11 to Ph.D. level,https://www.buddy4study.com/scholarship/post-matric-scholarship-for-persons-with-disability-maharashtra-2025
"Rajarshri Chhatrapati Shahu Maharaj Merit Scholarship, Maharashtra 2025-26",,₹300 per month for 10 months,Class 11 and 12 students,https://www.buddy4study.com/scholarship/rajarshri-chhatrapati-shahu-maharaj-merit-scholarship-maharashtra-2025
"Savitribai Phule Scholarship for SC Girl Students Studying in 5 to 10, Maharashtra 2025-26",,Up to ₹100 per month for 10 months,Female SC students of Classes 5 to 10,https://www.buddy4study.com/scholarship/savitribai-phule-scholarship-for-sc-girl-students-studying-in-5-to-10-maharashtra-2025
"Assistance to Meritorious Students Scholarship - Junior Level, Maharashtra 2025-26",,"A monthly scholarship of up to ₹2,300, depending on the course",Students studying in Class 11 and 12,https://www.buddy4study.com/scholarship/assistance-to-meritorious-students-scholarship-junior-level-maharashtra-2025
Buddy4Study Psychometric Test,,"Report, certificate & many more",Candidates must have passed Class 10 or must be pursuing higher education.,https://www.buddy4study.com/page/buddy4study-career-test
"Nirman Shramik Kalyan Yojana Scholarship, Odisha 2026-27",,"An annual financial assistance of up to ₹40,000",Students studying in Class 6 and above,https://www.buddy4study.com/scholarship/nirman-shramik-kalyan-yojana-scholarship-odisha-2026
Kiran Pratibha Scholarship 2026,,Tuition fee and other benefits,Students who have passed the 8th standard or are at least 14 years of age,https://www.buddy4study.com/scholarship/kiran-pratibha-scholarship-2026
"Pre-Matric Scholarship for OBC Students, Delhi 2025-26",,Up to ₹500 per annum,OBC students in Classes 1 to 10,https://www.buddy4study.com/scholarship/prematric-scholarship-for-obc-students-delhi-2025
"Post-Matric Scholarship for OBC Students, Delhi 2025-26",,Up to ₹750 per month with other benefits,OBC students in Class 11 and above,https://www.buddy4study.com/scholarship/postmatric-scholarship-for-obc-students-delhi-2025
"Reimbursement of Tuition Fee for SC/ST/OBC (School), Delhi 2025-26",,"Reimbursement of tuition, lab, and library fees up to ₹48,000 or actual paid, whichever is less",SC/ST/OBC/minority students in Classes 1 to 12,https://www.buddy4study.com/scholarship/reimbursement-of-tuition-fee-for-sc-st-obc-school-delhi-2025
Vigyan Jyoti Scheme,,"₹2,000 per month",Female students in class 9 and above,https://www.buddy4study.com/scholarship/vigyan-jyoti-scheme
