Scholarship Name,Provider,Amount,Eligibility ,Application Link
Nilam Patel Bahushrut Foundation HSC & Above Students Scholarship 2025,Nilam Patel Bahushrut Foundation,"A scholarship assistance, prizes and awards","Hearing-impaired students in HSC, UG, PG level in Gujarat & Maharashtra",https://www.buddy4study.com/scholarship/nilam-patel-bahushrut-foundation-hsc-above-students-scholarship-2025
Nilam Patel Bahushrut Foundation SSC Students Scholarship 2025,Nilam Patel Bahushrut Foundation,"Scholarships, prizes and special awards",Hearing impaired Class 10 passed students of Gujarat and Maharashtra,https://www.buddy4study.com/scholarship/nilam-patel-bahushrut-foundation-ssc-students-scholarship-2025
Vidyadhan Puducherry Plus 1 Scholarship Program 2025,Sarojini Damodaran Foundation,"₹10,000 per annum",Students studying in Class 11 and 12 in a recognised school/institution of the state,https://www.buddy4study.com/scholarship/vidyadhan-puducherry-plus-1-scholarship-program
STEM Scholarship Interest Form 2025-26,STEM (varies / organization specific),Priority consideration for various upcoming STEM scholarships,For students passionate about STEM,https://www.buddy4study.com/page/stem-scholarship-interest-form
Goonj Setu Fellowship 2025-26,Goonj,"A fixed monthly stipend ranging between ₹20,000 - ₹22,000, depending on the city",Graduates aged between 21 to 30 years,https://www.buddy4study.com/scholarship/goonj-setu-fellowship
"Vidyadhan Class 11 and 12 Scholarship Program, Himachal 2025",Sarojini Damodaran Foundation,"An annual scholarship of ₹10,000",Class 11 and 12 students,https://www.buddy4study.com/scholarship/vidyadhan-class-11-and-12-scholarship-program-himachal
"Vidyadhan Class 11 and 12 Scholarship Program, Punjab 2025",Sarojini Damodaran Foundation,"₹10,000 per annum",Class 10 passed students,https://www.buddy4study.com/scholarship/vidyadhan-class-eleven-and-twelve-scholarship-program-punjab
"Vidyadhan Class 11 and 12 Scholarship Program, Uttar Pradesh 2025",Sarojini Damodaran Foundation,"A scholarship of ₹10,000 per annum",Class 11 and 12 students studying in Uttar Pradesh,https://www.buddy4study.com/scholarship/vidyadhan-class-11-and-12-scholarship-program-uttar-pradesh-2025
"Vidyadhan Scholarship Program, Ladakh 2025",Sarojini Damodaran Foundation,"₹10,000 per annum",Students studying at Class 11 and 12,https://www.buddy4study.com/scholarship/vidyadhan-ladakh-class-11-scholarship-program-2025
Cultural Talent Search Scholarship Scheme 2025-26,"Ministry of Culture, Government of India","A scholarship of ₹3,600 per annum and reimbursement of ₹9,000 (one-time)",Students from any state in India aged 10-14 years old,https://www.buddy4study.com/scholarship/cultural-talent-search-scholarship-scheme
"Vidyadhan Intermediate (1st year) Scholarship Program, Andhra Pradesh 2025",Sarojini Damodaran Foundation,"₹10,000 per annum",Class 10 passed school students,https://www.buddy4study.com/scholarship/vidyadhan-intermediate-scholarship-program-andhra-pradesh
"Vidyadhan Plus 2 (1st year) Scholarship Program, Bihar 2025",Sarojini Damodaran Foundation,"₹10,000 per annum",Class 10 passed school students,https://www.buddy4study.com/scholarship/vidyadhan-plus2-1st-year-program-bihar
"Vidyadhan Class 11 and 12 Scholarship Program, Karnataka 2025",Sarojini Damodaran Foundation,"A maximum of ₹10,000 per annum",Class 11 and 12 school students of the state,https://www.buddy4study.com/scholarship/vidyadhan-class-11-and-12-scholarship-program-karnataka
"Vidyadhan Class 11 and 12 Scholarship Program, Goa 2025",Sarojini Damodaran Foundation,"An annual scholarship of ₹10,000",Class 10 passed school students,https://www.buddy4study.com/scholarship/vidyadhan-class-11-and-12-scholarship-program-goa
"Vidyadhan Higher Secondary Scholarship Program, West Bengal 2025",Sarojini Damodaran Foundation,"A maximum of ₹10,000 per annum",Class 11 and 12 school students of the state,https://www.buddy4study.com/scholarship/vidyadhan-higher-secondary-scholarship-program-west-bengal
"Vidyadhan Class 11 and 12 Scholarship Program, Gujarat 2025",Sarojini Damodaran Foundation,"₹10,000 per annum",Class 10 passed school students,https://www.buddy4study.com/scholarship/vidyadhan-gujarat-class-11-and-12-scholarship-program-2024
National Means-cum-Merit Scholarship Scheme 2025-26,Sarojini Damodaran Foundation,"₹12,000 per annum",Students enrolled in Class 9,https://www.buddy4study.com/scholarship/national-means-cum-merit-scholarship-scheme
"Post-Matric Scholarships for OBC Students, Punjab 2025-26","Ministry of Education, Government of India",A maintenance allowance of up to ₹750 and other benefits,OBC students of Class 11 and above,https://www.buddy4study.com/scholarship/postmatric-scholarships-for-obc-students-punjab-2025
"Post-Matric Scholarships for SC Students, Punjab 2025-26",Government of Punjab,"Maintenance allowance of up to ₹1,200 monthly and other grants",SC students of Class 11 and above,https://www.buddy4study.com/scholarship/postmatric-scholarships-for-sc-students-punjab-2025
